Lithology,GrainDensity,Reference,,,
Water,1000,General Assumption,,,
Saline water,1025,General Assumption,,,
AveSed,2300,General Assumption,,,
AveMarSed,2647,Hamilton and Bachman (1982) ,,,52.94
Diatomite,2457,Carmichael (1982),,,
Sand,2670,Gallagher and Lambeck (1989) ,,,
Sand,2650,Sclater and Christie (1980) ,,,
Shaly sand,2680,Sclater and Christie (1980) ,,,
Mud,2438,Van Sickel et al. [2004],,,
Silt,2680,Gallagher and Lambeck (1989) ,,,
Silt,2661,Hamilton and Bachman (1982) ,,,
Shale,2700,Sclater and Christie (1980) ,,,
Shale,2680,Gallagher and Lambeck (1989) ,,,
Clay,2735,Hamilton and Bachman (1982) ,,,
Basalt,2700,Turer and Maynard [2003],,,
Carbonates(Calcite),2710,Carmichael (1982),,,
Chalk,2710,Sclater and Christie (1980) ,,,
Crust,2800,General Assumption,,,
Limestone,2850,Turer and Maynard [2003],,,
Dolomite,2870,Carmichael (1982),,,
Mantle,3300,General Assumption,,,